ID,UserSeq,Date,Instrument,Type,Side,Amount,Position,Price,Mark Price,Index Price,Cash Flow,Funding,Fee Rate,Fee Charged,Fee Balance,Change,Balance,Equity,Trade ID,Order ID,Info
252487227,1649112674557446,04 Apr 2022 22:51:14,ETH-PERPETUAL,trade,open buy,60,60,3543.5,3545.38,3544.63,0,0,0,0,0,0,1.73875577,1.71986943,ETH-121601850,ETH-22169331160,Source: 'api:DCX'
252486476,1649112649547314,04 Apr 2022 22:50:49,ETH-PERPETUAL,trade,close sell,120,0,3545.7,3541.11,3540.15,0.00033713,-4e-8,0,0,0,0,1.73875577,1.72271551,ETH-121601480,ETH-22167670340,Source: 'api:DCX'
252479159,1649106716188322,04 Apr 2022 21:11:56,ETH-PERPETUAL,trade,open buy,60,120,3502,3503.09,3500.86,0,-3e-8,0,0,0,0,1.73875577,1.74178078,ETH-121597955,ETH-22167162028,Source: 'api:DCX'
252475622,1649105172667290,04 Apr 2022 20:46:12,ETH-PERPETUAL,trade,open buy,60,60,3519.5,3519.34,3516.79,0,0,0,0,0,0,1.73875577,1.7335958,ETH-121596234,ETH-22167138087,Source: 'api:DCX'
252474398,1649105104550503,04 Apr 2022 20:45:04,ETH-PERPETUAL,trade,close sell,540,0,3520,3519.61,3518.36,0.0019519,0,0,0,0,0,1.73875577,1.73393929,ETH-121595635,ETH-22163084606,Source: 'api:DCX'
252456250,1649095811178345,04 Apr 2022 18:10:11,ETH-PERPETUAL,trade,open buy,60,540,3414.5,3415.32,3415.77,0,0,0,0,0,0,1.73875577,1.78035259,ETH-121586903,ETH-22157535670,Source: 'api:DCX'
252430991,1649084750987471,04 Apr 2022 15:05:50,ETH-PERPETUAL,trade,open buy,60,480,3432.5,3433.8,3434.46,0,-6e-8,0,0,0,0,1.73875577,1.76996962,ETH-121574794,ETH-22150257866,Source: 'api:DCX'
252407408,1649068701159430,04 Apr 2022 10:38:21,ETH-PERPETUAL,trade,open buy,60,420,3450.5,3451.7,3451.84,0,0,0,0,0,0,1.73875577,1.76253403,ETH-121563489,ETH-22148951696,Source: 'api:DCX'
252401250,1649066043027043,04 Apr 2022 09:54:03,ETH-PERPETUAL,trade,open buy,60,360,3468.5,3470.5,3471.8,0,0,0,0,0,0,1.73875577,1.75281588,ETH-121560548,ETH-22138227031,Source: 'api:DCX'
252388015,1649059202534430,04 Apr 2022 08:00:00,ETH-PERPETUAL,settlement,long,300,300,3503.79,0,0,0.00030957,0,-,0,0,0.00030957,1.73875577,1.73863649,,,
252386641,1649059202414459,04 Apr 2022 08:00:00,ETH-24JUN22,settlement,short,-6024,-6024,3542.97,0,0,-0.00492359,0,-,0,0,-0.00492359,1.73844619,1.73863649,,,
252363546,1649031993532364,04 Apr 2022 00:26:33,ETH-PERPETUAL,trade,open buy,60,300,3486.5,3487.74,3488,0,0,0,0,0,0,1.74336978,1.74436723,ETH-121543875,ETH-22137594573,Source: 'api:DCX'
252359576,1649030564437507,04 Apr 2022 00:02:44,ETH-PERPETUAL,trade,open buy,60,240,3504.5,3505.85,3506.51,0,0,0,0,0,0,1.74336978,1.735827,ETH-121541991,ETH-22136417416,Source: 'api:DCX'
252354029,1649027164162343,03 Apr 2022 23:06:04,ETH-PERPETUAL,trade,open buy,60,180,3522.5,3522.45,3521.66,0,0,0,0,0,0,1.74336978,1.72856286,ETH-121539374,ETH-22136155001,Source: 'api:DCX'
252352157,1649026746929350,03 Apr 2022 22:59:06,ETH-PERPETUAL,trade,open buy,60,120,3540.5,3542.31,3541.35,0,-1e-8,0,0,0,0,1.74336978,1.71852934,ETH-121538488,ETH-22134886943,Source: 'api:DCX'
252342410,1649024410134341,03 Apr 2022 22:20:10,ETH-PERPETUAL,trade,open buy,60,60,3558.25,3559.47,3558.6,0,0,0,0,0,0,1.74336978,1.71240578,ETH-121533882,ETH-22134841937,Source: 'api:DCX'
252341503,1649024352656387,03 Apr 2022 22:19:12,ETH-PERPETUAL,trade,close sell,60,0,3560.7,3556.66,3555.27,0.00016824,0,0,0,0,0,1.74336978,1.71389362,ETH-121533443,ETH-22134186368,Source: 'api:DCX'
252334215,1649023207378425,03 Apr 2022 22:00:07,ETH-PERPETUAL,trade,open buy,60,60,3525.5,3527.12,3525.76,0,0,0,0,0,0,1.74336978,1.72671951,ETH-121530002,ETH-22134148003,Source: 'api:DCX'
252333886,1649023160031343,03 Apr 2022 21:59:20,ETH-PERPETUAL,trade,close sell,180,0,3526.3,3526.38,3525.34,0.00059068,-1.8e-7,0,0,0,0,1.74336978,1.72825971,ETH-121529846,ETH-22122065824,Source: 'api:DCX'
252298711,1648976065055355,03 Apr 2022 08:54:25,ETH-PERPETUAL,trade,open buy,60,180,3474.5,3475.8,3475.55,0,-1e-8,0,0,0,0,1.74336978,1.75060677,ETH-121513097,ETH-22120576938,Source: 'api:DCX'
252294915,1648972802343641,03 Apr 2022 08:00:00,ETH-PERPETUAL,settlement,long,120,120,3491.72,0,0,0.0021011,0,-,0,0,0.0021011,1.74336978,1.74337943,,,
252292919,1648972802236651,03 Apr 2022 08:00:00,ETH-24JUN22,settlement,short,-6024,-6024,3532.74,0,0,-0.0019813,0,-,0,0,-0.0019813,1.74126868,1.74337943,,,
252290170,1648969856290356,03 Apr 2022 07:10:56,ETH-PERPETUAL,trade,open buy,60,120,3492,3493.9,3493.21,0,0,0,0,0,0,1.74324998,1.74066361,ETH-121510466,ETH-22120400170,Source: 'api:DCX'
252289616,1648969171327316,03 Apr 2022 06:59:31,ETH-PERPETUAL,trade,open buy,60,60,3508.25,3508.23,3506.72,0,0,0,0,0,0,1.74324998,1.73528572,ETH-121510202,ETH-22120397164,Source: 'api:DCX'
252289566,1648969154315456,03 Apr 2022 06:59:14,ETH-PERPETUAL,trade,close sell,420,0,3509.9,3510.14,3508.38,0.00117782,-2.2e-7,0,0,0,0,1.74324998,1.73482699,ETH-121510178,ETH-22115002110,Source: 'api:DCX'
252268504,1648948874236456,03 Apr 2022 01:21:14,ETH-PERPETUAL,trade,open buy,60,420,3423.5,3425.19,3426,0,-1e-8,0,0,0,0,1.74324998,1.77430585,ETH-121500027,ETH-22106809897,Source: 'api:DCX'
252237975,1648922957456403,02 Apr 2022 18:09:17,ETH-PERPETUAL,trade,open buy,60,360,3441,3447.8,3448.19,0,0,0,0,0,0,1.74324998,1.76407132,ETH-121485445,ETH-22102714542,Source: 'api:DCX'
252220842,1648912558600343,02 Apr 2022 15:15:58,ETH-PERPETUAL,trade,open buy,60,300,3458.5,3458.69,3458.7,0,0,0,0,0,0,1.74324998,1.75729513,ETH-121477210,ETH-22102378286,Source: 'api:DCX'
252217834,1648911987510378,02 Apr 2022 15:06:27,ETH-PERPETUAL,trade,open buy,60,240,3476,3476.21,3476.33,0,0,0,0,0,0,1.74324998,1.74952969,ETH-121475775,ETH-22101726812,Source: 'api:DCX'
252215304,1648909910111356,02 Apr 2022 14:31:50,ETH-PERPETUAL,trade,open buy,60,180,3493.5,3494.48,3494.68,0,0,0,0,0,0,1.74324998,1.74070041,ETH-121474558,ETH-22099937366,Source: 'api:DCX'
252207392,1648904292979351,02 Apr 2022 12:58:12,ETH-PERPETUAL,trade,open buy,60,120,3511,3511.29,3510.65,0,0,0,0,0,0,1.74324998,1.73264912,ETH-121470743,ETH-22099427042,Source: 'api:DCX'
252204406,1648903001740322,02 Apr 2022 12:36:41,ETH-PERPETUAL,trade,open buy,60,60,3528.8,3529.19,3527.2,0,0,0,0,0,0,1.74324998,1.72433286,ETH-121469330,ETH-22099403402,Source: 'api:DCX'
252203091,1648902940422597,02 Apr 2022 12:35:40,ETH-PERPETUAL,trade,close sell,240,0,3524.8,3520.79,3518.81,0.00067659,0,0,0,0,0,1.74324998,1.72924588,ETH-121468715,ETH-22098471225,Source: 'api:DCX'
252197189,1648901428348369,02 Apr 2022 12:10:28,ETH-PERPETUAL,trade,open buy,60,240,3469,3470.84,3470.69,0,0,0,0,0,0,1.74324998,1.7515888,ETH-121465877,ETH-22098414858,Source: 'api:DCX'
252196451,1648901385465458,02 Apr 2022 12:09:45,ETH-PERPETUAL,trade,open buy,60,180,3486.5,3487.5,3488,0,0,0,0,0,0,1.74324998,1.74353262,ETH-121465536,ETH-22098345437,Source: 'api:DCX'
252196053,1648901284698359,02 Apr 2022 12:08:04,ETH-PERPETUAL,trade,open buy,60,120,3501.2,3501.9,3501.79,0,0,0,0,0,0,1.74324998,1.73670592,ETH-121465326,ETH-22098344139,Source: 'api:DCX'
252195977,1648901273004427,02 Apr 2022 12:07:52,ETH-PERPETUAL,trade,open buy,60,60,3504,3504.52,3504.42,0,0,0,0,0,0,1.74324998,1.73501329,ETH-121465292,ETH-22098329182,Source: 'api:DCX'
252195686,1648901252196380,02 Apr 2022 12:07:32,ETH-PERPETUAL,trade,close sell,224,0,3506.6,3505.43,3505.33,0.00032941,-1.4e-7,0,0,0,0,1.74324998,1.73539879,ETH-121465146,ETH-22090243507,Source: 'api:DCX'
252181916,1648886402396570,02 Apr 2022 08:00:00,ETH-PERPETUAL,settlement,long,224,224,3488.61,0,0,0.00694297,-6.2e-7,-,0,0,0.00694297,1.74324998,1.74324998,,,
